ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição PP;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em Permanência dos alunos;Nota em Permanência dos alunos;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2025;filosofia;Universidade Federal do Cariri;CE;61;Federal;35;18;66;17.32;;;77;3.53;;;1;8;;;47;76;3.59;79;2.2;;
2025;filosofia;Centro Universitário Católico Ítalo Brasileiro;SP;62;Privada;35;18;67;17.27;;;119;1.06;;;1;8;;;15;34;6.06;80;2.15;;
2025;filosofia;Universidade Estadual do Norte do Paraná;PR;63;Estadual;35;18;71;16.52;;;102;2.06;;;1;8;;;48;92;2.65;46;3.81;;
2025;filosofia;Universidade Católica de Pernambuco;PE;64;Privada;16;24.71;109;9.6;;;100;2.18;;;112;1.42;;;16;69;4;83;2;;
2025;filosofia;Universidade Federal do Piauí;PI;65;Federal;35;18;73;16.19;;;84;3.12;;;1;8;;;49;99;2.24;66;2.83;;
2025;filosofia;Universidade do Estado do Rio Grande do Norte;RN;66;Estadual;35;18;74;15.62;;;92;2.65;;;1;8;;;50;79;3.41;92;1.56;;
2025;filosofia;Universidade Estadual Vale do Acaraú;CE;67;Estadual;35;18;77;15.19;;;117;1.18;;;1;8;;;51;78;3.47;72;2.54;;
2025;filosofia;Universidade Federal do Amapá;AP;68;Federal;35;18;78;14.89;;;125;0.71;;;1;8;;;52;114;1.35;25;4.83;;
2025;filosofia;Universidade Estadual do Piauí;PI;69;Estadual;35;18;79;14.86;;;97;2.35;;;1;8;;;53;81;3.29;99;1.22;;
2025;filosofia;Universidade Federal do Recôncavo da Bahia;BA;70;Federal;35;18;80;14.78;;;79;3.41;;;1;8;;;54;88;2.88;114;0.49;;
2025;filosofia;Universidade Estadual de Santa Cruz;BA;71;Estadual;35;18;83;14.11;;;94;2.53;;;1;8;;;55;96;2.41;100;1.17;;
2025;filosofia;Universidade do Estado do Pará;PA;72;Estadual;16;24.71;127;7.1;;;133;0.24;;;76;3.56;;;56;105;1.88;95;1.42;;
2025;filosofia;Faculdade de São Bento;SP;73;Privada;35;18;87;13.6;;;53;4.94;;;117;1.13;;;17;53;4.94;71;2.59;;
2025;filosofia;Universidade Estadual do Maranhão;MA;74;Estadual;35;18;89;13.58;;;81;3.29;;;1;8;;;57;98;2.29;;;;
2025;filosofia;Centro Universitário Salesiano de São Paulo;SP;75;Privada;35;18;93;12.46;;;29;6.35;;;107;1.72;;;18;122;0.88;52;3.51;;
2025;filosofia;Universidade do Estado do Amapá;AP;76;Estadual;35;18;95;11.95;;;133;0.24;;;1;8;;;58;112;1.47;78;2.24;;
2025;filosofia;Universidade Católica de Brasília;DF;77;Privada;35;18;108;10.11;;;87;2.94;;;91;2.67;;;19;106;1.82;69;2.68;;
2025;filosofia;Universidade Católica do Salvador;BA;78;Privada;35;18;116;8.64;;;104;1.94;;;94;2.49;;;20;87;2.94;98;1.27;;
2025;filosofia;Universidade São Judas Tadeu;SP;79;Privada;35;18;120;8.15;;;119;1.06;;;91;2.67;;;21;71;3.88;113;0.54;;
2025;filosofia;Universidade Federal Rural do Rio de Janeiro;RJ;80;Federal;78;2.82;46;21.28;;;23;6.71;;;1;8;;;59;32;6.18;116;0.39;;
2025;filosofia;Universidade Federal de Lavras;MG;81;Federal;;;37;23.94;;;11;7.41;;;1;8;;;60;7;7.65;106;0.88;;
2025;filosofia;Universidade Federal da Integração Latino-americana;PR;82;Federal;;;38;23.31;;;56;4.77;;;1;8;;;61;10;7.47;61;3.07;;
2025;filosofia;Faculdade Canção Nova;SP;83;Privada;35;18;134;4.43;;;119;1.06;;;108;1.66;;;22;108;1.71;;;;
2025;filosofia;Universidade Católica Dom Bosco;MS;84;Privada;78;2.82;56;19.41;;;74;3.71;;;1;8;;;23;65;4.24;53;3.46;;
2025;filosofia;Colégio Pedro II;RJ;85;Federal;;;48;20.77;;;24;6.65;;;1;8;;;62;33;6.12;;;;
2025;filosofia;Universidade Federal do Estado do Rio de Janeiro;RJ;86;Federal;;;49;20.72;;;8;7.59;;;75;3.62;;;63;1;8;93;1.51;;
2025;filosofia;Universidade Federal de Campina Grande;PB;87;Federal;78;2.82;63;17.68;;;83;3.18;;;1;8;;;64;29;6.35;121;0.15;;
2025;filosofia;Faculdade Serra da Mesa;GO;88;Privada;;;51;20.24;;;51;5.06;;;1;8;;;24;117;1.18;1;6;;
2025;filosofia;Universidade Estadual de Montes Claros;MG;89;Estadual;;;68;17.02;;;92;2.65;;;1;8;;;65;95;2.47;44;3.9;;
2025;filosofia;Universidade Federal de Pelotas;RS;90;Federal;;;69;16.77;;;54;4.88;;;1;8;;;66;85;3.06;107;0.83;;
2025;filosofia;Universidade Federal do Acre;AC;91;Federal;;;72;16.47;;;90;2.77;;;1;8;;;67;89;2.82;65;2.88;;
2025;filosofia;Universidade Regional de Blumenau;SC;92;Municipal;78;2.82;92;12.95;;;60;4.53;;;114;1.3;;;68;16;7.12;;;;
2025;filosofia;Faculdade Católica de Anápolis;GO;93;Privada;;;76;15.31;;;7;7.65;;;109;1.6;;;25;136;0.06;1;6;;
2025;filosofia;FAE Centro Universitário;PR;94;Privada;;;81;14.49;;;67;4.12;;;88;2.84;;;26;28;6.41;101;1.12;;
2025;filosofia;Universidade Federal da Fronteira Sul;SC;95;Federal;;;82;14.31;;;60;4.53;;;80;3.32;;;69;43;5.53;105;0.93;;
2025;filosofia;Universidade Católica de Petrópolis;RJ;96;Privada;;;84;14.1;;;52;5;;;101;2.07;;;27;93;2.59;33;4.44;;
2025;filosofia;Faculdade Católica de Belém;PA;97;Privada;;;86;13.65;;;127;0.59;;;1;8;;;28;129;0.47;30;4.59;;
2025;filosofia;Faculdade São Bento do Rio de Janeiro;RJ;98;Privada;;;88;13.59;;;64;4.29;;;128;0.47;;;29;64;4.29;31;4.54;;
2025;filosofia;Universidade Estadual de Roraima;RR;99;Estadual;;;90;13.26;;;133;0.24;;;95;2.43;;;70;59;4.59;1;6;;
2025;filosofia;Faculdade São Luís;SC;100;Privada;;;91;13.08;;;30;6.29;;;133;0.18;;;30;86;3;50;3.61;;
2025;filosofia;Faculdade Mozarteum de São Paulo;SP;101;Privada;;;94;12.37;;;89;2.82;;;85;3.02;;;31;128;0.53;1;6;;
2025;filosofia;Instituto Santo Tomás de Aquino;MG;102;Privada;;;96;11.95;;;66;4.18;;;134;0.12;;;32;109;1.65;1;6;;
2025;filosofia;Faculdade Dehoniana;SP;103;Privada;78;2.82;112;9.06;;;80;3.35;;;103;1.96;;;33;90;2.77;104;0.98;;
2025;filosofia;Faculdade Dom Luciano Mendes;MG;104;Privada;;;97;11.81;;;42;5.59;;;113;1.36;;;34;125;0.71;39;4.15;;
2025;filosofia;Faculdade Sant'Ana;PR;105;Privada;;;98;11.73;;;116;1.24;;;97;2.31;;;35;100;2.18;1;6;;
2025;filosofia;Centro Universitário Assunção;SP;106;Privada;78;2.82;114;8.83;;;119;1.06;;;110;1.54;;;36;66;4.18;82;2.05;;
2025;filosofia;Instituto de Estudos Superiores do Maranhão;MA;107;Privada;;;99;11.26;;;108;1.71;;;83;3.14;;;37;130;0.41;1;6;;
2025;filosofia;Faculdade de Filosofia e Teologia Paulo Vi;SP;108;Privada;78;2.82;118;8.39;;;119;1.06;;;115;1.24;;;38;113;1.41;28;4.68;;
2025;filosofia;Faculdade de Teologia e Ciências de Votuporanga;SP;108;Privada;;;100;11.21;;;119;1.06;;;79;3.38;;;38;124;0.77;1;6;;
2025;filosofia;Instituto de Filosofia e Teologia de Goiás;GO;110;Privada;;;101;11.18;;;85;3.06;;;135;0.06;;;40;102;2.06;1;6;;
2025;filosofia;Centro Universitário Salesiano;ES;111;Privada;;;102;11.07;;;62;4.41;;;105;1.84;;;41;94;2.53;77;2.29;;
2025;filosofia;Faculdade São Bento da Bahia;BA;112;Privada;;;103;11.06;;;104;1.94;;;1;8;;;42;118;1.12;;;;
2025;filosofia;Centro Universitário Católica de Quixadá;CE;113;Privada;;;104;11.02;;;65;4.24;;;86;2.96;;;43;73;3.77;123;0.05;;
2025;filosofia;Instituto Católico de Estudos Superiores do Piauí;PI;114;Privada;;;105;11.01;;;73;3.77;;;129;0.42;;;44;123;0.82;1;6;;
2025;filosofia;Faculdade Dois de Julho;BA;115;Privada;;;106;10.94;;;104;1.94;;;1;8;;;45;120;1;;;;
2025;filosofia;Faculdade Paulus de Tecnologia e Comunicação;SP;116;Privada;;;107;10.93;;;38;5.82;;;120;0.95;;;46;68;4.06;122;0.1;;
2025;filosofia;Faculdade Católica de Feira de Santana;BA;117;Privada;;;110;9.42;;;82;3.24;;;125;0.65;;;47;126;0.65;24;4.88;;
2025;filosofia;Faculdade Católica de Pouso Alegre;MG;118;Privada;78;2.82;131;6.35;;;107;1.77;;;121;0.89;;;48;119;1.06;70;2.63;;
2025;filosofia;Faculdade Salesiana Dom Bosco;AM;119;Privada;;;111;9.07;;;127;0.59;;;116;1.19;;;49;115;1.29;1;6;;
2025;filosofia;Faculdade Vicentina;PR;120;Privada;;;113;8.95;;;126;0.65;;;130;0.36;;;50;104;1.94;1;6;;
2025;filosofia;Centro Universitário Ceuni;AM;121;Privada;;;115;8.71;;;127;0.59;;;1;8;;;51;135;0.12;;;;
2025;filosofia;Faculdade Unirb - Natal;RN;122;Privada;;;117;8.55;;;108;1.71;;;96;2.37;;;52;61;4.47;;;;
2025;filosofia;Faculdade Católica de Mato Grosso;MT;123;Privada;;;119;8.18;;;131;0.35;;;126;0.59;;;53;116;1.24;1;6;;
2025;filosofia;Faculdade Palotina;RS;124;Privada;;;121;8;;;78;3.47;;;118;1.07;;;54;84;3.12;117;0.34;;
2025;filosofia;Centro Universitário Academia;MG;125;Privada;;;122;7.86;;;96;2.41;;;98;2.25;;;55;110;1.59;91;1.61;;
2025;filosofia;Faculdade Católica de Fortaleza;CE;126;Privada;;;123;7.65;;;108;1.71;;;106;1.78;;;56;107;1.77;75;2.39;;
2025;filosofia;Universidade Católica de Pelotas;RS;127;Privada;;;124;7.51;;;95;2.47;;;90;2.73;;;57;111;1.53;108;0.78;;
2025;filosofia;Faculdade João Paulo II;SP;128;Privada;;;125;7.3;;;91;2.71;;;119;1.01;;;58;101;2.12;94;1.46;;
2025;filosofia;Universidade de Sorocaba;SP;129;Privada;;;126;7.11;;;112;1.47;;;111;1.48;;;59;77;3.53;111;0.63;;
2025;filosofia;Faculdade Católica da Paraíba;PB;130;Privada;;;128;7.07;;;39;5.77;;;123;0.77;;;60;132;0.29;119;0.24;;
2025;filosofia;Faculdade Diocesana São José;AC;131;Privada;;;129;6.94;;;127;0.59;;;;;;;61;131;0.35;1;6;;
2025;filosofia;Faculdade São Basílio Magno;PR;132;Privada;;;130;6.85;;;98;2.29;;;127;0.53;;;62;80;3.35;110;0.68;;
2025;filosofia;Faculdade São Tomás de Aquino;AL;133;Privada;;;132;5.81;;;108;1.71;;;131;0.3;;;63;133;0.24;51;3.56;;
2025;filosofia;Instituto de Ciências Sociais e Humanas;GO;134;Privada;;;133;5.37;;;85;3.06;;;100;2.13;;;64;134;0.18;;;;
2025;filosofia;Faculdade de Teologia da Arquidiocese de Brasília;DF;135;Privada;;;135;4.02;;;118;1.12;;;102;2.02;;;65;127;0.59;118;0.29;;
2025;filosofia;Centro Universitário dos Guararapes;PE;136;Privada;;;136;3.48;;;100;2.18;;;131;0.3;;;66;120;1;;;;
