ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso;MT;38;Federal;;;38;16.07;85;0.28;3;7.79;;;1;8;;;;;;
2019;zootecnia;Faculdade Terra Nordeste;CE;39;Privada;;;39;16;1;8;;;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia Baiano;BA;40;Federal;;;40;15.5;63;2.3;28;5.2;;;1;8;;;;;;
2019;zootecnia;Universidade Federal do Amazonas;AM;41;Federal;;;41;15.11;48;3.68;45;3.43;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia Goiano;GO;42;Federal;;;42;14.9;31;5.24;62;1.66;;;1;8;;;;;;
2019;zootecnia;Universidade Federal do Maranhão;MA;43;Federal;;;43;14.87;54;3.13;42;3.74;;;1;8;;;;;;
2019;zootecnia;Universidade Estadual de Montes Claros;MG;44;Estadual;;;44;14.68;47;3.77;50;2.91;;;1;8;;;;;;
2019;zootecnia;Fundação Universidade Federal de Rondônia;RO;45;Federal;;;45;14.62;16;6.62;;;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Sudeste de Minas Gerais;MG;46;Federal;;;46;14.53;60;2.58;40;3.95;;;1;8;;;;;;
2019;zootecnia;Universidade Estadual do Sudoeste da Bahia;BA;47;Estadual;;;47;13.65;48;3.68;59;1.97;;;1;8;;;;;;
2019;zootecnia;Universidade Federal do Recôncavo da Bahia;BA;48;Federal;;;48;13.61;62;2.39;47;3.22;;;1;8;;;;;;
2019;zootecnia;Universidade Estadual de Goiás;GO;49;Estadual;;;49;13.31;63;2.3;49;3.01;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais;MG;50;Federal;;;50;13.25;75;1.2;39;4.05;;;1;8;;;;;;
2019;zootecnia;Universidade do Oeste Paulista;SP;51;Privada;;;51;12.97;45;3.95;2;7.9;;;75;1.12;;;;;;
2019;zootecnia;Universidade Federal de Alagoas;AL;52;Federal;;;52;12.84;41;4.32;73;0.52;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia Farroupilha;RS;53;Federal;;;53;12.72;66;2.02;52;2.7;;;1;8;;;;;;
2019;zootecnia;Universidade Federal de Mato Grosso do Sul;MS;54;Federal;;;54;12.56;33;5.06;21;5.92;;;70;1.58;;;;;;
2019;zootecnia;Faculdade de Ensino Superior da Amazônia Reunida;PA;55;Privada;;;55;12.22;58;2.76;64;1.46;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;MG;56;Federal;;;56;12.15;70;1.66;54;2.49;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Ceará;CE;57;Federal;;;57;12.13;68;1.84;56;2.29;;;1;8;;;;;;
2019;zootecnia;Universidade Federal do Piauí;PI;58;Federal;;;58;12.04;61;2.48;63;1.56;;;1;8;;;;;;
2019;zootecnia;Fundação Universidade do Estado de Santa Catarina;SC;59;Estadual;;;59;11.63;50;3.49;5;7.58;;;81;0.56;;;;;;
2019;zootecnia;Universidade do Estado de Mato Grosso;MT;60;Estadual;;;60;11.34;55;3.03;75;0.31;;;1;8;;;;;;
